Complexity,Loss,Equation
1,0.11827845,"0.24664922"
3,0.005697094,"(CNO / 5.3342505)"
5,0.005554298,"((0.19166106 * CNO) + -0.015150993)"
7,0.0055542933,"((1.1916671 * (CNO + -0.0127074495)) - CNO)"
9,0.005371263,"(CNO / (5.3342943 - (0.030991066 / (5.3342943 - CNO))))"
11,0.0052108592,"(0.19166106 * (CNO + (0.02438263 / ((5.3342505 - CNO) + -0.6275991))))"
13,0.0050882315,"(0.19166106 * ((CNO + -0.02956349) + (0.02438263 / ((5.3342505 - CNO) + -0.6275991))))"
15,0.0049077594,"(0.19166106 * (CNO + ((0.02438263 / -1.1839584) / (((5.3342505 - CNO) + 1.0723388) - 1.6725905))))"
