Complexity,MSE,Equation
1,183.0334735,x1
3,9.180885881,(x1 / 2.5976950115302757)
5,7.203073853,((x1 + -0.1524537583155233) * 0.40907498401598796)
13,7.126958519,(((x1 * x1) / ((x1 + (x1 - 0.3169400518761357)) - -0.9923695388566977)) / 1.1662695432546035)
15,7.123147206,((((x1 * x1) / ((x1 + (x1 - 0.3169400518761357)) - -0.9923695388566977)) - 0.021764063669985723) / 1.1662695432546035)
17,7.007902922,(((((x1 * x1) / ((x1 + (x1 - 0.3169400518761357)) - -0.9923695388566977)) - 0.021764063669985723) / 1.1662695432546035) / 0.9696668292243822)
