Complexity,MSE,Equation
1,182.5595312,x1
3,8.714115311,(x1 / 2.5976282453043438)
5,6.541383282,((x1 - 0.18026559649984805) / 2.4174658540932787)
7,6.541383281,(((x1 + 1.0218535946543734) - 1.2021188577541955) * 0.41365625529339795)
15,6.48946847,((((0.0733858020406004 * (2.003141901688631 + x1)) - x1) / (-2.2525071673664545 * (x1 - -0.020431854844887257))) * x1)
