Complexity,Loss,Equation
1,0.06666722,"0.5012963"
4,0.0012276549,"exp(-0.64854544 * t)"
6,0.0007705006,"exp(-0.6964901 * (t - 0.08142529))"
8,0.00033545977,"(exp(-0.521817 * t) - (0.051547296 * t))"
9,0.000254568,"exp((-0.521817 + (-0.024553718 * exp(t))) * t)"
11,6.6148415e-5,"exp(((t / exp(t)) * t) - (t + -0.053492416))"
13,5.595426e-5,"(exp((((t * t) / exp(t)) + 0.061064973) - t) + -0.0061321715)"
15,3.9634455e-5,"exp(((((t - 0.19704711) / (exp(t) - 0.36787838)) * t) - t) + 0.082710676)"
16,3.959127e-5,"exp(((((t - 0.19704711) / (exp(t) - exp(-1.0386205))) * t) - t) + 0.082710676)"
17,2.6240055e-5,"(exp(((((t - 0.19704711) / (exp(t) - 0.42666066)) * t) - t) + 0.082710676) - 0.004505376)"
19,2.4341382e-5,"exp((((t / (exp(t + 0.7735076) - 1.2024207)) * ((2.0531225 * t) - 0.45155713)) - t) + 0.082710676)"
21,2.4147466e-5,"exp((((t / (exp(t + (0.7735076 / 1.0398422)) - 1.2021635)) * ((t + t) - 0.45155713)) - t) + 0.082710676)"
