Complexity,Loss,Equation
1,0.32070845,"0.32658622"
3,0.21531174,"(1.5765159 - t)"
4,0.103948325,"exp(0.2281535 - t)"
5,0.030230531,"exp(1.4808034 - exp(t))"
6,0.008759562,"exp(0.7953802 - (t / 0.3818941))"
7,0.0008739092,"exp(1.7090092 - exp(t * 1.5225908))"
8,0.000873909,"exp(exp(0.5359257) - exp(t * 1.5225908))"
9,0.0003909507,"exp(0.6525806 - (t * exp(t * 1.4764031)))"
11,0.0001460969,"exp(0.7017871 - ((t * exp(t * t)) / 0.59385735))"
12,4.6307323e-5,"exp(1.0961723 - ((exp(exp(t) * t) * 0.4177648) + t))"
13,8.432534e-6,"exp(0.69272053 - ((exp((t * t) / 0.61352617) + 0.6110195) * t))"
15,3.6211695e-6,"exp(0.69449115 - ((exp(((t + t) - 0.3188968) * t) + 0.69449115) * t))"
17,2.152982e-6,"exp(0.69449115 - (t * (((exp(t * (t + t)) * 0.69741356) + 0.47639233) + 0.47639233)))"
19,1.3818284e-6,"exp(0.69449115 - (t * (((exp(t * (t + (t * 1.0207282))) * 0.69449115) + 0.47639233) + 0.47639233)))"
21,1.3728187e-6,"exp(0.69449115 - (t * (((exp(t * (((t * 1.0148053) * 1.0070719) + t)) * 0.69449115) + 0.47619998) + 0.47639233)))"
