Complexity,Loss,Equation
1,0.049218554,"1.7805309"
5,0.014188223,"((0.2542068 * t) - -1.4627563)"
7,0.012627249,"(exp(-1.4753106 / exp(t)) - -1.162699)"
8,0.009727437,"((-0.5554486 / exp(t * t)) - -1.9789646)"
9,0.0072571,"(1.9474692 - exp(t - exp(t * t)))"
10,0.0061885226,"((-0.41370577 / (exp(t * t) - t)) - -1.9909042)"
11,0.00037911377,"((t / ((2.4530814 - exp(exp(t))) * 0.34885246)) - -1.980463)"
12,0.0002455801,"((((t / 0.24518578) / -0.63925886) / exp(t / 0.27873915)) - -1.9740896)"
13,0.00013740687,"((t / (((2.4530814 + t) - exp(exp(t))) * 0.43175974)) - -1.9763349)"
15,0.0001308023,"((t / ((((2.4468272 - exp(exp(t))) - t) * 0.4524525) + t)) - -1.9743556)"
17,8.300554e-5,"(((((-0.88440865 * t) / (exp(t + t) + -0.5163653)) / 0.22856492) / exp(t)) - -1.9909042)"
19,8.2509236e-5,"((((((-0.8915241 - -0.14293574) * t) / (exp(t + t) + -0.52054745)) / 0.19397105) / exp(t)) - -1.9909042)"
21,8.1796665e-5,"(((((((-0.885795 - -0.14599481) * t) * 1.1858153) / (exp(t + t) + -0.52379483)) / 0.22860077) / exp(t)) - -1.9903657)"
