Complexity,Loss,Equation
1,0.34061974,"0.6882142"
3,0.042078473,"(1.9381342 - t)"
4,0.012157947,"(1.978322 / exp(t))"
6,0.005934028,"((2.2270198 / exp(t)) - 0.13747211)"
7,0.0016440043,"exp(1.0667566 - exp(t + -0.7362364))"
8,0.0010289107,"(((2.3778656 + t) / exp(t)) + -0.47472814)"
10,0.0010120091,"(((2.3695216 + (t * 0.9446657)) / exp(t)) - 0.45606723)"
11,0.000107953194,"exp(0.6671538 - (t * (exp(0.63829345 * t) - t)))"
17,9.994393e-5,"(((exp(0.6678045) + t) + t) / ((exp((t - -0.079009) * t) + t) + t))"
19,3.886506e-5,"(1.9716163 / (exp((0.3932029 * t) * ((t * t) + (1.3063073 / exp(t / 0.14407624)))) + t))"
21,2.1688997e-5,"(1.965967 / (exp((0.3954372 * (t - 0.019670682)) * ((t * t) + (2.0361218 / exp(t / 0.11355972)))) + t))"
