Complexity,Loss,Equation
1,0.033643246,"0.63375723"
3,0.03350524,"(0.43693453 * t)"
5,0.0037180502,"((0.23495401 * t) - -0.3400645)"
6,0.0027993815,"((0.055495217 * exp(t)) + 0.3831237)"
8,0.00251553,"((0.045564316 * (exp(t) + t)) - -0.37101945)"
9,0.0013932373,"(exp(t - exp(t)) - (t * -0.39608642))"
10,0.0013932372,"((exp(t) / exp(exp(t))) - (t * -0.39608642))"
11,0.0010620262,"(exp(t - exp(t)) - ((t * -0.4173843) + 0.03585921))"
12,0.00049148296,"((0.4001272 * t) - (-0.26517546 / (exp(t * t) - t)))"
13,0.00047349455,"((((0.6907904 + t) + t) / exp(exp(t))) - (t * -0.39782777))"
14,0.00034745727,"((0.3995248 * t) - ((-0.2279966 - t) / exp((t + 1.0580229) * t)))"
15,0.00022902504,"(((0.48822796 * t) - ((-1.1545076 - (t / 0.41051084)) / exp(exp(t)))) - 0.17085648)"
16,0.00020908393,"(((0.48225513 * t) - ((-1.1545076 - (t / exp(-0.8999639))) / exp(exp(t)))) - 0.17085648)"
17,0.00014106781,"(((0.48225513 * t) - ((-1.1092238 - ((t * 1.6356708) + t)) / exp(exp(t)))) - 0.17085648)"
19,0.00013025115,"(((0.48225513 * t) - (((-1.1092238 - t) - (t / 0.49082693)) / (exp(exp(t)) + t))) - 0.17085648)"
20,0.00012418738,"(((0.4699397 * t) - (((((t - 0.8681548) * t) - exp(t)) - t) / exp(exp(t)))) - 0.14523284)"
21,0.000103255625,"(((0.48225513 * t) - (((-1.0665388 - t) - (t + t)) / (exp(exp(t)) + (t * t)))) - 0.17085648)"
