Complexity,Loss,Equation
1,0.0029624072,"0.027189525"
4,0.0012355071,"exp(-2.2099872 - t)"
5,0.00014271072,"exp(-1.7163022 * exp(t))"
6,1.2356331e-5,"exp(-0.59454125 * exp(exp(t)))"
7,7.141394e-6,"exp(-0.5560931 - exp(t / 0.50924116))"
8,3.18884e-6,"exp(-0.58021194 * exp(exp(t / 0.920302)))"
9,1.1540417e-6,"exp(-0.5960085 - (exp(t / 0.42855027) - t))"
11,2.7887e-7,"exp((((t / -0.2081449) * t) - exp(0.46994913)) - t)"
12,1.2635851e-7,"exp((((t / -0.28406098) - exp(t)) * t) - exp(0.47199965))"
14,1.226571e-7,"exp(((((t / -0.28406098) - exp(t)) - -0.0066979663) * t) - exp(0.47199965))"
15,4.989045e-8,"exp(((t / -0.41314906) * (t + t)) - exp(0.4742884 + (t / 1.836436)))"
16,4.7522757e-8,"exp((((0.3446791 - t) - t) * (exp(0.7108332) * t)) - exp(0.4742884 + t))"
17,3.430931e-8,"exp((((t / -0.21760416) * t) - t) - (exp(0.47817868 - t) + (t * 1.3828257)))"
