Complexity,Loss,Equation
1,1.052726,"-0.11345028"
3,0.86899257,"(A - B)"
5,0.5681963,"((C * A) - B)"
7,0.41593024,"((C / (B - -0.27438685)) * A)"
9,0.11553608,"(((A / (B - -0.25653946)) * C) - B)"
11,0.10241455,"((((C / (B - -0.34279174)) * A) - B) * 1.3367786)"
13,0.05774944,"((((C / ((B * A) - -0.4088003)) * A) - B) * 1.6521204)"
15,0.023066062,"((((C / (((B - -0.16816978) * A) - -0.16816978)) * A) - B) * 1.8638716)"
17,0.018971164,"((((C / (((B - -0.16816978) * A) - -0.22809806)) * (A * 1.0755863)) - B) * 1.8638716)"
19,0.017547132,"((((C / (((B - -0.16816978) * A) - -0.22809806)) * (A * 1.0755863)) - B) * (1.8638716 + 0.08438752))"
