Complexity,Loss,Equation
1,0.033643246,"0.63375723"
3,0.03350524,"(0.43693295 * t)"
5,0.0037180502,"((0.23495401 * t) - -0.34006462)"
6,0.0027993815,"((0.055495083 * exp(t)) - -0.38312474)"
7,0.0024513335,"(-0.29198357 / (-0.7071811 - (-0.1706212 * t)))"
9,0.0013932372,"(exp(t - exp(t)) - (-0.39608976 * t))"
11,0.0010620264,"((exp(t - exp(t)) - (-0.4173848 * t)) - 0.035858333)"
12,0.00049148296,"((0.26517573 / (exp(t * t) - t)) - (-0.4001271 * t))"
13,0.00047349435,"((((0.6907288 + t) + t) / exp(exp(t))) - (-0.39782828 * t))"
14,0.00034384205,"((((t + exp(t)) / exp(exp(t))) - (-0.45426247 * t)) - 0.120280005)"
15,0.00013866431,"((((0.39806 + t) / 0.3653823) / exp(exp(t))) - ((-0.4851281 * t) - -0.176538))"
17,0.00013608854,"((((0.39333618 + t) / 0.3653823) / (exp(exp(t)) - 0.055139482)) - ((-0.4851281 * t) - -0.176538))"
19,0.00011387388,"((((t + (exp(t) + ((t * -1.5690762) * t))) / exp(t)) - (-0.58949286 * t)) - 0.81522787)"
21,0.00010148439,"(((((1.0806882 + t) + t) + t) / (exp(exp(t)) + (t * t))) - ((-0.4851281 * t) - -0.176538))"
