Complexity,Loss,Equation
1,0.9974754,"-0.14057288"
3,0.75576615,"(A - B)"
5,0.5073897,"((A * C) - B)"
7,0.3253067,"(C / ((B / -4.8149695e-7) - -0.14739609))"
9,0.08954814,"(((A * C) / (B - -0.27777693)) - B)"
11,0.07656949,"(((A / ((B + 0.3872602) / C)) - B) * 1.3824307)"
13,0.042812683,"(((A / (((A * B) + 0.41943327) / C)) - B) * 1.5825813)"
15,0.018950814,"(((A / ((((A * B) + 0.16616616) / C) - -0.16690469)) - B) * 1.8271089)"
17,0.017678248,"(((A / ((((B * A) + 0.16616616) / C) - -0.16943192)) - (B / 1.0388689)) * 1.8619481)"
19,0.017126858,"(((A / ((((B * A) + 0.16616616) / C) - -0.16782823)) - ((B / 1.061096) + 0.017556466)) * 1.8271089)"
