Complexity,Loss,Equation
1,0.009812273,"0.39632055"
5,0.0061655557,"(0.4988439 + (-0.082018726 * t))"
6,0.0010146429,"((0.3017002 + t) / exp(t))"
8,0.00088316336,"((t - -0.16481757) / (exp(t) + -0.33169723))"
9,0.00088315277,"((t + 0.17727427) / (exp(t) - exp(-1.2049426)))"
10,0.0008482644,"((t + 0.18467933) / (exp(t - 0.03030257) - 0.23324235))"
11,0.0008006172,"exp((exp(t) + exp(exp(0.75788105 - t))) * -0.1357632)"
12,0.0006058138,"exp((exp(t) + exp(exp(exp(-0.1696441 - t)))) * -0.107864246)"
14,0.000533495,"exp((exp(exp(exp(-0.0802491 - t)) - 0.22416419) + exp(t)) * -0.11662486)"
15,0.00049616105,"exp((exp(t) + (exp(exp(t / -0.2800526) + 1.1745368) - t)) * -0.136636)"
16,0.00037741364,"exp(((exp(t) + exp(exp(exp((-0.09205096 - t) - t)))) * -0.10406153) + -0.10406153)"
17,7.208361e-5,"exp((((exp(t) - t) + exp(exp(t / -0.08990501) + 1.3786433)) - t) * -0.15461786)"
19,5.8710826e-5,"(exp((((exp(t) + exp(exp(t / -0.09124884) + 1.37699)) - t) - t) * -0.136636) - 0.04359802)"
21,4.5499437e-5,"(exp(((exp(t) + (exp(exp((t / -0.09892453) - 0.08250968) + 1.37699) - t)) - t) * -0.136636) - 0.04359802)"
