Complexity,Loss,Equation
1,0.19906594,"0.59038544"
3,0.11393122,"(1.8403852 - t)"
4,0.03981205,"exp(0.45374155 - t)"
5,0.017633053,"(1.313542 + (t * -0.5785267))"
6,0.0014529218,"exp((0.7859861 - t) * t)"
8,0.0010220549,"exp(((0.8069832 - t) / 0.89477944) * t)"
10,0.0008538413,"(exp(((0.7910422 - t) * t) / 0.8844511) + 0.016681088)"
11,0.0008383481,"(exp((exp(-0.25733384) - t) * (t / 0.8537209)) - -0.025733074)"
12,0.0006222723,"(exp(((0.7910422 - t) * t) / 0.8392567) - (-0.01901483 * t))"
13,0.00051335426,"exp(((exp((0.5881831 - t) * t) - t) * t) * 0.6368217)"
15,0.00022569271,"exp(((exp((0.49745587 - (t * t)) * t) - t) * t) * 0.5624105)"
16,0.00022337258,"exp(((exp(0.5751232 - exp((t * t) + -0.9888852)) - t) * 0.5751232) * t)"
17,0.00015435558,"exp(((exp(0.55789083 - exp(exp(t) * (t + -0.9888852))) - t) * 0.5446339) * t)"
18,0.00014473955,"exp(((exp(((0.6841246 - t) * exp(t * t)) * 0.5751474) - t) * t) * 0.5427101)"
19,9.0938636e-5,"exp((((exp(((0.46803296 - t) * (t * t)) * t) - t) * t) - -0.04721407) * 0.5624095)"
20,8.2450824e-5,"exp(((exp((0.6841246 - t) * ((exp(t * t) - t) - 0.24309085)) - t) * t) * 0.5427101)"
