Complexity,Loss,Equation
1,0.073784724,"0.956418"
4,0.06800833,"exp(0.057910934 * t)"
5,0.014186024,"(0.5419492 - (t * -0.33157468))"
6,0.00152745,"((-1.0347801 / exp(t)) + 1.3400322)"
7,0.00036517472,"((-2.423674 / exp(exp(t))) + 1.1738378)"
8,9.6134e-5,"((-1.0208858 / exp(1.5648956 * t)) + 1.2163835)"
10,3.9594084e-5,"((((t * 0.51936686) - 0.9564487) / exp(t)) + 1.164877)"
12,3.959403e-5,"(((((0.5193727 * t) - 0.9564475) / exp(t)) + 2.1533692) - 0.9884943)"
14,3.8631224e-5,"((((t * 0.51936686) - 0.9564487) / (exp(t) - (0.01749107 * t))) + 1.164877)"
15,2.819769e-5,"((-1.251023 / exp(t)) + (((0.3658397 + t) / (exp(t) + t)) + 1.0952666))"
16,2.2835573e-5,"((-1.1647311 / ((((exp(t / 0.6641501) - t) * t) - -1.1647311) + t)) + 1.205219)"
18,1.9942485e-5,"((-1.1647311 / ((((exp((t / 0.6641501) - -0.01139673) - t) * t) - -1.1647311) + t)) + 1.205219)"
19,6.139106e-6,"((-1.1647311 / ((((1.2597736 + (((1.7692152 + t) * t) * t)) + 0.78635615) * t) - -1.1647311)) + 1.205219)"
21,1.8435177e-6,"((-1.1647311 / ((((1.1963562 + ((((1.1450523 + t) * 1.251581) * t) * t)) + 0.87654513) * t) - -1.1647311)) + 1.205219)"
