Complexity,Loss,Equation
1,1.0907838,"-0.51449066"
3,0.64837635,"(-1.4122822 * A)"
5,0.34049764,"((-1.568398 * A) * C)"
7,0.16244642,"(((-2.4113815 + B) * A) * C)"
9,0.05212322,"(((-2.8062267 + (B * A)) * A) * C)"
11,0.03641662,"(((-3.2328057 + (B * (A - -0.5060582))) * A) * C)"
13,0.029440362,"(-3.134362 * (A / ((0.5139534 + ((0.24123299 + B) * A)) / C)))"
15,0.010360841,"((((-0.82370275 - B) * A) / (0.24836539 + ((A * B) * B))) * C)"
17,0.0077894554,"(((((-0.82370275 - B) * A) / (0.24836539 + ((A * B) * B))) * C) + -0.050337516)"
19,0.0073288186,"((((((-0.82370275 - B) * A) / (0.24836539 + ((A * B) * B))) + 0.03242253) * C) - 0.09431984)"
