Complexity,Loss,Equation
1,0.9595572,"0.12378498"
3,0.73515093,"(B - A)"
5,0.55167264,"(B - (A * C))"
7,0.40483472,"((-0.2003358 / (B - -0.03532775)) * A)"
9,0.10175147,"(B - ((A * C) / (B - -0.263664)))"
11,0.086733155,"(B - ((A * C) / ((B * A) - -0.26295707)))"
13,0.058638006,"((((((B * A) - 2.0940502) * C) * A) + B) * 1.6660857)"
15,0.032189474,"((B * 1.3803241) - ((A * C) / (((A * B) * B) - -0.263664)))"
17,0.025551768,"((((0.188909 * B) - (A * C)) / (0.25966448 + ((A * B) * B))) + B)"
19,0.024352513,"((((0.188909 * B) - (A * C)) / (0.26035008 + (((A * B) + -0.06616334) * B))) + B)"
