Complexity,Loss,Equation
1,0.99379677,"0.12370061"
3,0.82691747,"(B - A)"
5,0.5693474,"(B - (A * C))"
7,0.44319987,"(A * (C / (-0.27654323 - B)))"
9,0.13129774,"(B - ((A * C) / (B + 0.26583505)))"
11,0.10289116,"(B - ((A / ((B * A) + 0.26351735)) * C))"
13,0.060955178,"((B - ((A * C) / ((A * B) - -0.4037924))) * 1.6029888)"
15,0.039009105,"((B - ((A * C) / (((B * A) * B) - -0.4278495))) * 1.6185558)"
17,0.02280849,"((B - ((A * C) / ((B * (A * (A * B))) - -0.43951637))) * 1.68963)"
19,0.021813279,"((B - ((A * (C / 0.9439901)) / (((B * (A * B)) * A) - -0.46751598))) * 1.68963)"
