Complexity,Loss,Equation
1,0.009812273,"0.44806805"
5,0.0049289437,"(1.9390391 / (5.7120724 - t))"
6,0.00368248,"(0.33633497 - (-0.024739789 * exp(t)))"
7,0.00331062,"exp(-1.0620322 + (0.053950313 * exp(t)))"
8,0.002144494,"((t + exp(0.7003985 - t)) * 0.22630662)"
9,0.0009808647,"(0.49741414 + (((0.14421299 * t) - 0.27968717) * t))"
10,0.0005948531,"((t + exp(0.8171873 - (t / 0.5180596))) * 0.26084098)"
11,0.0005924132,"((t + exp(0.8171873 - (t / exp(-0.66933006)))) * 0.26084098)"
12,3.3882305e-5,"(((exp(t) + (1.2131116 / (t + 0.11006143))) * 0.036833316) + 0.22172154)"
13,3.3881664e-5,"(((exp(t) + (exp(0.1940281) / (0.11006126 + t))) * 0.0368245) + 0.22172031)"
14,3.3869903e-5,"(((exp(t) + ((1.2117596 / (0.109805085 + t)) + 0.71573323)) * 0.036833856) + 0.19533852)"
16,2.5036265e-5,"(((exp(t) + (exp(t / exp(t)) / (0.09034751 + t))) * 0.03813344) + 0.20826246)"
18,1.9371872e-5,"(((exp(t) + (exp(t / (exp(t) - t)) / (0.09011669 + t))) * 0.039702144) + 0.19128582)"
20,1.9363913e-5,"(((exp(t) + (exp(t / (exp(t) - (t + 0.0022933013))) / (0.09011669 + t))) * 0.039702144) + 0.19128582)"
