Complexity,Loss,Equation
1,0.19906594,"2.409615"
3,0.11393121,"(t + 1.1596185)"
5,0.01763304,"((0.57852703 * t) + 1.686455)"
9,0.011516971,"((1.8513519 / exp(exp(1.1958041 - t))) + 1.6893033)"
10,0.00860976,"((((t / exp(t)) * t) * t) + 1.8265861)"
11,0.0009723747,"((1.0779659 / exp(exp((1.0540463 - t) / 0.28956708))) + 1.8560466)"
13,0.0009532872,"((1.0852568 / exp(exp((1.0540463 - t) * (1.8347951 - -1.523615)))) + 1.8560466)"
14,0.0009051744,"((1.3125124 / exp(exp((exp(1.3125124) - t) * (1.1198394 - t)))) + 1.8560466)"
15,0.0007329812,"(((1.5444397 / (t + exp(exp((1.0779659 - t) / 0.28805688)))) * t) + 1.8643885)"
16,0.0007183599,"(((1.5444397 / (t + exp(exp((1.0779659 - t) * exp(1.2831304))))) * t) + 1.8643885)"
17,0.0007182854,"(((1.5444397 / (t + exp(exp(((1.0779659 - t) * 1.8067726) * 2.0026515)))) * t) + 1.8643875)"
18,0.00071736873,"(((1.5444397 / ((t + exp(exp((1.0779659 - t) * exp(1.2831304)))) - 0.0060047135)) * t) + 1.8643875)"
20,0.0007165799,"(((1.5444397 / ((t + exp(exp(((1.0779659 - t) * exp(1.2831304)) + 0.0060047135))) - 0.0060047135)) * t) + 1.8643885)"
21,0.0007007459,"(((1.5444397 / (t + exp(exp((exp(exp(1.2216258 - t) - t) - t) * t)))) * t) + 1.8643875)"
