Complexity,Loss,Equation
1,0.0027277798,"0.057030436"
4,0.00011649305,"exp(-1.7768867 - t)"
6,2.2396694e-6,"exp(-1.6325706 - (1.3413744 * t))"
7,2.224889e-6,"exp(-1.6325706 - (exp(0.2913643) * t))"
8,1.8916835e-6,"(exp(-1.6325706 - (t * 1.317325)) + -0.00089783495)"
10,1.7142288e-6,"(exp(-1.6325706 - (t * 1.317325)) + (-0.00089783495 * t))"
12,1.6244743e-6,"(exp(-1.7625531 - ((-0.09709075 + t) * 1.3125056)) + (-0.00089783495 * t))"
13,1.068567e-6,"(exp((-1.6012838 - (t / (exp(1.0499421) + t))) - t) - 0.0054489165)"
14,6.104212e-7,"(exp((-1.5685416 - (t / ((t / 0.3502915) - -1.9400713))) - t) - 0.009621049)"
15,5.9685635e-7,"(exp((-1.5685416 - (t / ((t / exp(-1.079984)) - -1.8840219))) - t) - 0.009621049)"
16,5.9063314e-7,"(exp((-1.5685416 - (t / (t - (-1.8840219 - (t + t))))) - t) - 0.009621049)"
17,2.3399467e-7,"exp(((-1.9152415 - -0.29328433) - (t / 0.64220226)) + (((t * t) * 0.64220226) / exp(t)))"
19,2.3101046e-7,"exp(((-1.9152415 - -0.29328433) - (t / 0.64220226)) + (((t * t) * 0.64220226) / exp(t / 0.998079)))"
21,1.5938188e-7,"exp(((-1.911962 - -0.29328433) - (t / 0.6635175)) + (t * ((t * t) / exp((t - 0.34310833) + t))))"
