Complexity,Loss,Equation
1,0.0011108811,"0.16649614"
5,0.0010845577,"((-0.0069684023 * t) - -0.17520657)"
6,0.0008467708,"(t / exp(t + 0.5624993))"
7,0.0004744494,"((0.17497925 / (0.017875796 + t)) * t)"
8,0.00041935005,"(t / (exp(t) + (t * 2.4230273)))"
9,0.0003199536,"(t / ((t + 0.2173411) * (3.179208 + t)))"
10,3.1653224e-6,"(t / ((exp(t) - 0.67058086) + (t * 3.179208)))"
12,2.9824487e-6,"(t / (((exp(t) - 0.6665864) / 1.0045754) + (t * 3.179208)))"
14,2.7403096e-6,"(t / (((exp(t) - 0.6665864) * 0.9706506) + (t * (3.179208 * 1.0186089))))"
16,2.7402107e-6,"(t / ((((exp(t) - 0.6665864) + 0.0041223885) * 0.9706506) + (t * (3.179208 * 1.0186089))))"
17,2.7401409e-6,"(t / ((exp(t) - 0.66783416) + (t * (2.1806498 + exp((t * t) * -0.010538719)))))"
18,2.627947e-6,"(t / ((exp(t) - 0.6665864) + (t * (3.179208 - (0.022930438 * (t * (-0.9774125 + t)))))))"
20,2.6160592e-6,"(t / ((exp(t) - 0.6665864) + (t * (3.179208 + ((-0.021116491 * 1.2423404) * ((-1.0988863 + t) * t))))))"
21,1.8670856e-6,"(t / (exp(t) + (((((t / exp(t)) * 0.4874163) * t) + t) - (0.65421355 - (t + t)))))"
