Complexity,Loss,Equation
1,0.802393,"-0.1440961"
3,0.67905545,"(A - B)"
5,0.405857,"((A * C) - B)"
7,0.3500967,"(((C * A) - B) * 1.5227975)"
9,0.07958866,"(((C * A) / (0.2787912 + B)) - B)"
11,0.06795024,"(((A / (B + 0.27334046)) * C) + (-1.2277179 * B))"
13,0.037764,"((((A * C) / (0.42318237 + (A * B))) - B) * 1.6009836)"
15,0.026183723,"((((A * (C - -0.10921259)) / (0.46741632 + (B * A))) - B) * 1.6670207)"
17,0.022905858,"((((A * (C - -0.06623279)) / (0.46741632 + ((A - 0.12542783) * B))) - B) * 1.7010589)"
19,0.01784137,"((((A * (C - -0.13560086)) / (0.4770051 + ((A - 0.28971508) * B))) - (B * 1.2112726)) * 1.6199899)"
