Complexity,Loss,Equation
1,0.21341945,"0.24853407"
4,0.048424914,"exp(-1.8306677 * t)"
5,0.03212607,"exp(1.2353321 - exp(t))"
6,0.002146461,"exp((-3.1412914 * t) + 0.6600743)"
7,0.0021464608,"exp(exp(-0.4154067) + (-3.1413088 * t))"
8,0.0014765396,"exp(((-2.5362556 - t) * t) + 0.6209102)"
9,0.0013093143,"exp((t - 0.23032671) * (-1.6427325 - exp(t)))"
10,0.0011314591,"exp(((-2.7475271 - (t * t)) * t) + 0.6265192)"
11,0.0009298264,"exp((t - 0.22360884) * (-1.8059807 - exp(t * t)))"
12,0.00068139896,"exp((t - 0.22683737) * ((t / 0.203517) - exp(exp(t))))"
14,0.0005991215,"exp((t - 0.22647947) * (((t / 0.203517) - exp(exp(t))) - 0.11305389))"
15,0.0005157157,"exp(((t * (0.3704423 - exp(exp(t)))) + 0.66334945) / (exp(t) + t))"
16,0.00013025044,"exp((t * (0.63282466 - (exp(exp(t)) / ((0.48926702 + t) + t)))) + 0.66334945)"
18,4.915519e-5,"exp((t * (0.4142141 - ((exp(exp(t)) - 0.9110419) / (0.29125184 + (t + t))))) + 0.673027)"
19,2.0116602e-5,"exp((t * (0.44627392 - ((exp(exp(t)) - exp(-0.04591764)) / ((0.25727633 + t) + t)))) + 0.69076335)"
21,1.8933288e-5,"exp((t * (0.3237645 - ((exp(exp(t)) - exp(0.25014856 * t)) / ((0.2537172 + t) + t)))) + 0.6908983)"
