Complexity,Loss,Equation
1,1.2919179,"-0.53967565"
3,0.7425501,"(-1.5238383 * A)"
5,0.3832868,"(A / (-0.1572 - B))"
7,0.17946546,"((A * (-2.4022248 + B)) * C)"
9,0.050730336,"((A * (-2.798269 + (B * A))) * C)"
11,0.035304755,"(((-3.0990508 + ((A + 0.37426513) * B)) * A) * C)"
13,0.02253378,"(((-1.9325947 * C) * A) / (0.58289325 + (B * (A - 0.35429388))))"
15,0.010791229,"(((-1.8738685 * C) * A) / (0.5807754 + (((A + -0.34941736) * B) * B)))"
17,0.009045534,"((((-1.8738685 * C) * A) + -0.024072217) / (0.58289325 + (B * ((A - 0.34002674) * B))))"
19,0.006354945,"(((((-1.7495725 - B) + 0.9024192) * A) / ((0.4993297 + -0.2404939) + ((B * A) * B))) * C)"
