Complexity,Loss,Equation
1,1.1453921,"-0.18543763"
3,0.8713026,"(A - B)"
5,0.57445633,"((C * A) - B)"
7,0.2731532,"((A - B) / (0.14747286 + B))"
9,0.09299893,"(((A / (0.28120407 + B)) * C) - B)"
11,0.07595164,"((((A / (0.38496923 + B)) * C) - B) * 1.3630215)"
13,0.034861527,"((((A * C) / (0.45126477 + (B * A))) - B) * 1.6676179)"
15,0.018708296,"((((A * C) / (0.46093962 + (B * (B * A)))) - B) * 1.6676179)"
17,0.0129065635,"((((A * C) / (0.48024428 + ((B * B) * (A + -0.16046578)))) - B) * 1.7494657)"
19,0.008911631,"((((A * (C + -0.08514469)) / (0.47601584 + (B * (B * (A + -0.22874913))))) - B) * 1.7494657)"
