Complexity,Loss,Equation
1,1.1943462,"0.19571826"
3,0.93946177,"(B - A)"
5,0.6972284,"(B - (A * C))"
7,0.25933716,"((B - A) / (0.13915563 + B))"
9,0.12287418,"(((C / (-0.26921436 - B)) * A) + B)"
11,0.08501469,"(((C / (-0.26691687 - (B * A))) * A) + B)"
13,0.036647502,"((((C / (-0.4209185 - (A * B))) * A) + B) * 1.6161675)"
15,0.031895574,"((((C / (-0.4430398 - ((B * B) * A))) * A) + B) * 1.6268945)"
17,0.014264065,"((((C / (-0.45391542 - ((A * B) * (B * A)))) * A) + B) * 1.7142743)"
19,0.01182344,"(((((C / (-0.46792552 - (((A * B) * B) * A))) - 0.04709746) * A) + B) * 1.7343569)"
