Complexity,Loss,Equation
1,0.4502947,"4.252992"
5,0.11390055,"(3.2813544 + (0.19432886 * t))"
6,0.080124475,"(4.5526695 - (2.622104 / exp(t)))"
7,0.06704294,"(4.588903 / exp(exp(-0.22729191 - t)))"
8,0.037325867,"(4.8180084 - exp(-0.43444386 * (t - 2.0049415)))"
9,0.03732325,"(4.8180084 - exp(-0.43444386 * (t - exp(0.6934463))))"
