Complexity,MSE,Equation
1,220.2743853,0.268353787
3,60.83650147,(x1 * 0.18301976770924966)
5,3.915805435,((x2 * 0.06376834970654724) * x1)
9,2.122422436,(((x1 * 0.2638792561493732) / (x3 - -2.1460011661882294)) * x2)
13,0.587813077,((((x2 / 1.3109030503046122) / (x3 + (x1 + x3))) * x1) * 0.5976273438637505)
15,0.207913106,((((x2 / 1.3109030503046122) / (x3 + ((x1 - -0.5559754764384813) + x3))) * x1) * 0.5976273438637505)
