Complexity,MSE,Equation
1,180.3884627,x1
3,6.864360833,(x1 * 0.3852550052152846)
5,5.526364223,((x1 + -0.1664981124589779) * 0.41142644731559064)
7,5.526364223,(((x1 - 0.41413498780756547) + 0.24763648169079608) * 0.4114265254985622)
13,5.420254705,(((x1 / (x1 + (-0.12185606442342294 / -0.9191916323191568))) + (-0.8770440484942518 / 1.5520529744724174)) * x1)
15,5.338574356,(((x1 - 0.4112253178667377) + (((-0.005571234059769598 / (x1 - 0.18936496715439585)) + 1.0960326425566773) + -0.8367121531408878)) * 0.4112253178667377)
17,5.317465213,(((x1 - 0.4112253178667377) + (((-0.005571234059769598 / (x1 - 0.18936496715439585)) + 1.0960326425566773) + (-0.8367121531408878 - 0.03131230840029666))) * 0.4112253178667377)
